100,EURO 2020,Equipe de France,11/06/2019,Andorra,Exterieur,Estadi Nacional,Éliminatoires Euro,0 - 4,Pied droit,Antoine Griezmann,J. Gómes,11',https://www.youtube.com/watch?v=-iU-kVHgIhA,00:40
101,2019/2020,Paris Saint-Germain,03/08/2019,Rennes,Domicile,Shenzhen Universiade Sports Centre,Trophée des Champions,2 - 1,Pied droit,Pablo Sarabia,T. Koubek,57',https://www.youtube.com/watch?v=NLndAklDv94,01:15
102,2019/2020,Paris Saint-Germain,11/08/2019,Nîmes,Domicile,Parc des Princes,Ligue 1 Conforama,3 - 0,Pied gauche,Juan Bernat,P. Bernardoni,56',https://www.youtube.com/watch?v=PlvdQi8wSdk,03:01
103,2019/2020,Paris Saint-Germain,18/10/2019,Nice,Exterieur,Allianz Riviera,Ligue 1 Conforama,1 - 4,Pied droit,,W. Benítez,88',https://www.youtube.com/watch?v=OkYhQgbCA4Y,03:39
104,2019/2020,Paris Saint-Germain,22/10/2019,Club Bruges,Exterieur,Jan Breydelstadion,Ligue des Champions,0 - 5,Tête,Di Maria,S. Mignolet,61',https://www.youtube.com/watch?v=ycPfoG3s-xU,00:36
105,2019/2020,Paris Saint-Germain,22/10/2019,Club Bruges,Exterieur,Jan Breydelstadion,Ligue des Champions,0 - 5,Pied droit,Di Maria,S. Mignolet,79',https://www.youtube.com/watch?v=ycPfoG3s-xU,00:59
106,2019/2020,Paris Saint-Germain,22/10/2019,Club Bruges,Exterieur,Jan Breydelstadion,Ligue des Champions,0 - 5,Pied gauche,Di Maria,S. Mignolet,83',https://www.youtube.com/watch?v=ycPfoG3s-xU,01:13
107,2019/2020,Paris Saint-Germain,27/10/2019,Marseille,Domicile,Parc des Princes,Ligue 1 Conforama,4 - 0,Pied gauche,Di Maria,S. Mandanda,32',https://www.youtube.com/watch?v=ibu2AYZTfgs,01:31
108,2019/2020,Paris Saint-Germain,27/10/2019,Marseille,Domicile,Parc des Princes,Ligue 1 Conforama,4 - 0,Pied droit,Di Maria,S. Mandanda,44',https://www.youtube.com/watch?v=ibu2AYZTfgs,02:16
109,2019/2020,Paris Saint-Germain,01/11/2019,Dijon,Exterieur,Stade Gaston-Gérard,Ligue 1 Conforama,2 - 1,Pied droit,Di Maria,A. Gomis,19',https://www.youtube.com/watch?v=dK2HOeoLZ3s,00:30
